review_id,aspect,opinion_word,aspect_sentiment
5972581853,morning,next,neutral
5806637205,time,many,neutral
5806637205,serumsmoisturizer,other,neutral
5806637205,bottle,bigger,neutral
6637028158,woman,normal,neutral
6637028158,life,whole,neutral
6637028158,issue,serious,negative
6637028158,texture,facial,neutral
6637028158,minimize,pore,neutral
23890184577,product,like,positive
23890184577,week,last,neutral
23890184577,size,larger,neutral
5313908074,moisturizer,incredible,neutral
5313908074,size,small,neutral
25587897334,strength,extra,neutral
25587897334,peel,daily,neutral
25587897334,sample,small,neutral
25587897334,skin,softer,neutral
25587897334,size,larger,neutral
25587897334,product,recommend,positive
1516611336,moisturizer,nice,positive
1516611336,packaging,gorgeous,positive
1516611336,skin,normal,neutral
1516611336,moisturizer,other,neutral
1516611336,hand,other,neutral
6279709066,stuff,ok,positive
6279709066,clean,prefer,neutral
5220224099,moisturizer,good,positive
2418774075,minute,few,neutral
2418774075,bit,little,neutral
2418774075,film,oily,negative
2418774075,rinse,final,neutral
2418774075,product,alternative,neutral
8127973164,product,like,positive
8127973164,review,previous,neutral
8127973164,review,accurate,neutral
8127973164,product,viscose,neutral
8127973164,bummer,real,neutral
5255430954,notch,top,positive
5255430954,contamination,possible,neutral
5255430954,skin,normal,neutral
5255430954,skin,combo,neutral
5255430954,smell,fine,positive
5490988900,texture,nice,positive
5490988900,bump,little,neutral
5490988900,skin,sensitive,negative
24515629518,look,peralecent,neutral
24515629518,paint,solid,positive
24515629518,paint,white,negative
24515629518,look,dull,negative
24515629518,look,white,negative
24515629518,primer,bad,negative
24515629518,reason,only,neutral
5279040289,skin,happy,negative
5279040289,fragrance,natural,positive
1767641187,time,several,neutral
1767641187,improvement,significant,positive
20869990735,dewy,nice,positive
20869990735,smell,like,negative
20869990735,type,senstive,neutral
6318325670,patch,strange,negative
6318325670,eye,worse,negative
6318325670,min,good,positive
6318325670,return,immediate,neutral
6318325670,regime,nightly,neutral
6318325670,day,next,neutral
6318325670,time,more,neutral
2404499036,moisturizer,worst,negative
8762129059,smell,heavenly,positive
8762129059,consistency,smooth,positive
8762129059,feel,heavy,negative
8762129059,affect,extra,neutral
8762129059,complaint,biggest,neutral
8762129059,day,apart,neutral
8762129059,end,high,neutral
8762129059,product,high,neutral
8762129059,bottle,own,neutral
8762129059,oil,nice,positive
8762129059,difference,actual,neutral
8762129059,product,particular,neutral
25576211734,smell,like,negative
25576211734,smell,good,positive
25576211734,smell,mild,positive
25576211734,tan,noticeable,positive
901796815,product,different,neutral
901796815,face,brighten,positive
6642566892,caffeine,good,positive
6642566892,eye,puffy,negative
6642566892,bag,green,neutral
6507407382,circle,dark,neutral
1486411433,run,long,neutral
11568737107,one,better,positive
5394001728,day,next,neutral
5394001728,product,love,positive
5394001728,people,many,neutral
22606294752,cream,love,positive
22606294752,skin,smooth,negative
22606294752,skin,dry,negative
2001434327,feature,great,positive
2001434327,spot,dark,neutral
11673121444,primer,extra,neutral
11673121444,glow,little,neutral
5055184264,feel,dry,negative
5055184264,skin,dry,negative
5055184264,cast,white,negative
5055184264,sunscreen,dewier,neutral
11072352205,de-,slight,neutral
33529599000,skin,less,neutral
33529599000,skin,acne,negative
33529599000,skin,prone,neutral
8728208903,treatment,love,positive
8728208903,night,other,neutral
8728208903,line,fine,positive
8728208903,line,noticeable,positive
5545146215,pore,larger,neutral
5545146215,use,first,neutral
10957058795,c,great,positive
10957058795,skin,moisturize,neutral
10957058795,skin,dry,negative
9631870567,balm,love,positive
9631870567,time,real,neutral
9631870567,time,long,neutral
9631870567,product,little,neutral
9631870567,way,long,neutral
33029780708,end,high,neutral
33029780708,look,moisturized,positive
33029780708,scent,strong,positive
33029780708,scent,floral,neutral
33029780708,product,scented,neutral
27227859534,replacement,affordable,positive
27227859534,restore,triple,neutral
27227859534,version,mini,neutral
27227859534,product,okay,positive
27227859534,issue,common,neutral
27227859534,value,good,positive
27227859534,issue,same,neutral
6643654601,product,like,positive
6643654601,skin,prone,neutral
6643654601,scrub,nice,positive
6643654601,while-,little,neutral
6643654601,scent,nice,positive
10061905627,product,best,positive
1295484731,skin,normal,neutral
12678701000,mask,love,positive
12678701000,skin,dull,negative
12678701000,skin,sensitive,negative
1812112819,reviewer,other,neutral
1812112819,review,favourable,neutral
6833704805,skin,sensitive,negative
9217246986,face,irritate,negative
9217246986,wrinkle,more,neutral
11839522894,exfoliator,great,positive
1935162014,cream,love,positive
1935162014,moisturizer,thick,negative
1935162014,way,long,neutral
1935162014,night,first,neutral
1935162014,skin,good,positive
1935162014,night,single,neutral
1935162014,night,every-,neutral
1935162014,model,terrible,negative
1935162014,time,long,neutral
1935162014,container!anyway,tiny,neutral
1074768571,molecule,large,neutral
1074768571,sample,sized,neutral
1074768571,boy,old,neutral
1074768571,grease,more,neutral
1074768571,night.if,last,neutral
1074768571,applicator,terrible,negative
1074768571,scent,reminiscent,neutral
1074768571,s,mixed,neutral
1074768571,pimple,enough,neutral
1074768571,person,only,neutral
1074768571,moisturizer,crappy,negative
27356728977,texture,nice,positive
27356728977,smell,nice,positive
27356728977,layer,good,positive
2628821728,breakout,huge,positive
2628821728,breakout,large,neutral
2628821728,painful,red,negative
2628821728,breakout,painful,negative
